Part of Speech	cv_de_insertion_pos	cv_de_deletion_pos	cv_de_og_word_pos	cv_en_insertion_pos	cv_en_deletion_pos	cv_en_og_word_pos	gs_insertion_pos	gs_deletion_pos	gs_og_word_pos
VERB	2993.0	1503.0	12763.0	480.0	145.0	1772.0	1126.0	615.0	4311.0
PROPN	2227.0	985.0	10094.0	305.0	82.0	2113.0	681.0	213.0	2877.0
DET	1486.0	514.0	4049.0	73.0	6.0	175.0	123.0	49.0	342.0
X	1127.0	248.0	1080.0	8.0	4.0	22.0	47.0	101.0	74.0
ADV	2365.0	911.0	8866.0	126.0	40.0	317.0	248.0	187.0	1030.0
NOUN	3431.0	1652.0	16989.0	907.0	363.0	3060.0	1807.0	1158.0	5245.0
PRON	1146.0	278.0	2724.0	382.0	154.0	749.0	985.0	675.0	2301.0
ADP	1604.0	586.0	3442.0	250.0	93.0	494.0	499.0	277.0	1273.0
ADJ	853.0	344.0	7652.0	148.0	38.0	653.0	289.0	157.0	1034.0
CCONJ	365.0	114.0	397.0	70.0	17.0	165.0	216.0	187.0	664.0
AUX	466.0	292.0	1941.0	100.0	58.0	351.0	318.0	181.0	998.0
NUM	84.0	34.0	261.0	15.0	11.0	78.0	110.0	293.0	449.0
SCONJ	68.0	29.0	168.0	20.0	4.0	49.0	48.0	47.0	287.0
PART	98.0	23.0	144.0	70.0	15.0	85.0	235.0	123.0	336.0
PUNCT	0.0	29.0	10.0	1.0	8.0	9.0	5.0	1.0	8.0
INTJ	0.0	0.0	1.0	16.0	6.0	17.0	86.0	127.0	254.0
SPACE	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0
SYM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
